"participantGUID","pid","Protocol","ageGroup","d_arrive","d_sacrifice","Intervention","SacrificeTime","ANIRandGroup","siteName"
"70E0DCB0-DC26-45CC-B462-F3719E223B02",10045570,2,1,"02JUL2018","03OCT2018",3,11,"Eight-week program Control Group",940
"EBBEAE90-9621-4590-B6DA-9C95DB546010",10045651,2,1,"02JUL2018","03OCT2018",2,11,"Eight-week program Training Group",940
"BB316AB0-EEB0-42CF-93B0-4B43C5A4A605",10045732,2,1,"02JUL2018","03OCT2018",2,11,"Eight-week program Training Group",940
"1E774011-BEB7-4FF9-B622-3DCBB34526EF",10045813,2,1,"02JUL2018","03OCT2018",3,11,"Eight-week program Control Group",940
"76BADF95-5E94-4770-A1C5-715FEE6F935A",10046038,2,1,"02JUL2018","04OCT2018",3,11,"Eight-week program Control Group",940
"F9BEE1FA-E2DB-4BE4-A79C-99D585D6FD17",10046119,2,1,"02JUL2018","04OCT2018",3,11,"Eight-week program Control Group",940
"A77AC89A-1D9E-4516-9DA4-2BE99C8126EF",10046380,2,1,"02JUL2018","04OCT2018",3,11,"Eight-week program Control Group",940
"2B969165-1A52-43AA-8FD9-39AFA62F094F",10046461,2,1,"02JUL2018","04OCT2018",2,11,"Eight-week program Training Group",940
"83BAA78D-FC67-428D-82EB-066E062B8C10",10046542,2,1,"02JUL2018","04OCT2018",2,11,"Eight-week program Training Group",940
"6E2D02A7-902E-45A1-98A6-D221EAB3E895",10046623,2,1,"02JUL2018","04OCT2018",2,11,"Eight-week program Training Group",940
"3CB7B4DD-4FDB-4673-B02C-6727DE9F43C7",10046704,2,1,"02JUL2018","05OCT2018",2,11,"Eight-week program Training Group",940
"9902995F-147D-495B-8932-1CAC9B9F6CF1",10046895,2,1,"02JUL2018","05OCT2018",2,11,"Eight-week program Training Group",940
"B2D79E00-8138-4D95-8E2D-8FE98817E748",10046976,2,1,"02JUL2018","05OCT2018",2,11,"Eight-week program Training Group",940
"172C7AA6-33B6-4941-AB3E-DDDBE74719B8",10047190,2,1,"02JUL2018","05OCT2018",2,11,"Eight-week program Training Group",940
"C70E2825-4C5A-494B-BD8F-2A3D9C3CD94A",10059369,2,1,"07AUG2018","12NOV2018",2,10,"Four-week program",940
"FE767C6C-A1A1-4127-B4AD-DB86DA330A48",10063633,2,1,"07AUG2018","12NOV2018",2,10,"Four-week program",940
"6A1B62F2-791D-4AD1-AF30-7DF779C77ACE",10085017,2,1,"07AUG2018","12NOV2018",2,10,"Four-week program",940
"39BB8A90-B9BD-4879-950C-F8CE6FC2A6C7",10088113,2,1,"07AUG2018","12NOV2018",2,10,"Four-week program",940
"7CC385ED-D79D-4A67-9416-89DACBE4A97B",10093702,2,1,"07AUG2018","12NOV2018",2,10,"Four-week program",940
"22D700B9-EDD0-4BC8-8155-EB9C39417F81",10095241,2,1,"07AUG2018","13NOV2018",2,10,"Four-week program",940
"1CA4210C-3CE6-4A5A-996B-673EBDEB3B81",10106383,2,1,"07AUG2018","13NOV2018",2,10,"Four-week program",940
"B25961A8-F07C-413E-86D4-C9BB5589ADDA",10136967,2,1,"07AUG2018","13NOV2018",2,10,"Four-week program",940
"9F3E1040-D409-421E-B635-2572DC20ED89",10139044,2,1,"07AUG2018","13NOV2018",2,10,"Four-week program",940
"3D542218-E637-43A9-AE07-3BE0D7153C2F",10139710,2,1,"07AUG2018","13NOV2018",2,10,"Four-week program",940
"DCF3D0CD-7CB2-475C-9208-E7749AB91AB0",10152148,2,1,"07AUG2018","14NOV2018",2,10,"Four-week program",940
"95E9D7A9-0F3B-4DE5-975B-1C3FD01C8F8C",10171010,2,1,"07AUG2018","14NOV2018",2,10,"Four-week program",940
